address,balance
0x129DdF9c3958D5ae6A5A61a40110bEB8D7ca8E7d,14
0x1A617404a799295f129f84fDE9086D32b314568E,8
0x570b86aC7E3cB18A1bc9506F6Ecb7fF724D284fa,6
0xeD5b95342A7A4d2735F7D86c3D2c50cb03837446,4
0xc2C74D156DC2f614416D70541A59100e3fbFC4fF,4
0xE33e4EfDe8df32601EB1fEe1F26F55752EFf757C,3
0xd90485a3c4e7c6d4b473d102C0633Eb9038c7ca9,3
0x8cB1F920e437791A97443cC81b62476120D30e40,3
0x33b0784543F5A2Ab6380D02ae3233D18127905F3,3
0xfDCE5951F9c4A64c397eD3bA8Ed6408E10Df2b8c,2
0xf83719280BA7f4b1e390bb1524ad42b427c80F4E,2
0xdE54139d9592128EE73B5F8f72e8d0A8DCAA5191,2
0xd3dE1f8Aa8e9Cf7133Bb65f4555F8f09cFCB7473,2
0xC22d43928CDBd57b6725E669C1606B18a2bcE82A,2
0xb5603Fab7710ad24DDF3a58aB27d0584b1f23e2b,2
0xA6CcFDA51641D5CcE7F2B376Ca29FaEf8abdC0D1,2
0xa2FF3E1070bBede9E631B98a79F4996bAbE3C395,2
0x9f6c0E6E43EA7c8547F43c1966595c521b495eD7,2
0x9F229A2259d8246dF5f9B465d0BDd5E373e50006,2
0x9210cBB688eb68D0c0DEc88dA9D7EE8A6b8b4DeC,2
0x837Ba81662500bfBBF926a6967df6Fac60253B04,2
0x78FA562DB71c28Af6E0643324CD2b5d3CF2bc6ef,2
0x76e3e524df9e29863B06cd858bb1D8ed7F3dd8Ab,2
0x660255Af9Aa0300BB168DCe9Db30A7Baaa88C751,2
0x4F0De440a4039Be1F2aCC1414b35a2dD7Dda0845,2
0x49D522712D2786b56680Cc69f5B5b4d4f541b0A4,2
0x491fFC953E1aB2751817ff90A5f32694a4841474,2
0x42Dac4c72EEe97baeE3bBacc7102790a7a1800Ee,2
0xFf672B72F6A14ed06d49cD728c30FdbCAa077240,1
0xfC83192a4047247462C36e5823990688Ace93FE3,1
0xfAA8dcc827153B8A4B70B109e6489992cD19103f,1
0xF87AAFaA01f252d50929c28575f76e3fDd7613C3,1
0xF75F005198317490Fc5423319E48195cC7D07CD4,1
0xF740C1D5B28b35adDFAA61Ea4EE4980ddA508D5d,1
0xF521dD46c9b24B8A2352402697FD0Cd581EC5F64,1
0xF22E23DEfA3cA75103b5264541ee2028463ADF02,1
0xeeDE9ACD5BbCd64915078323BDA6216dfb6565ef,1
0xecb97c17d9cD6adD9d02B6610058A230eaE5e766,1
0xEABec8883fB97826f8C0eea47657eFe2bFeCf38e,1
0xe223c05FA8C4c010d97649aD24009c722F0B3ee3,1
0xDEdbfEE3Ab91B4Aca500a11128225e41667F6708,1
0xDd059704affB27FC19954f5504B70b6D3ec0eAF5,1
0xdcA8815Ab3702C94f4918C5f709A349AFbb435AB,1
0xDc32b8A20289e98E6Bf5CdfF02407ea3201095F2,1
0xDa610b7CeF2285B7B81cb605538Bc3F83999b2cE,1
0xd8068f813c45C88CEBb02cBC0F91F95626Ec9a34,1
0xd76bB40d855dece19de5D84a6a42a07F2B82fe72,1
0xD74deF7feCDf89Cb73e3dE2a4C63B907D31Fb93e,1
0xd51D49A1a67AB4ED75825D1F8a99b1c794e4A164,1
0xD448D2B1b6b232e3BeF1115b006DfAD39DB673AA,1
