address,balance
0x2FEB12B34a09Cac2a518e51E4044A46800eE8cA7,108
0x4580719aB87eB414Df356c423bAdEb95b71E13cD,107
0x3E4E3848BE243680918d4626cb6Cc8E5529CF29C,107
0x147B413E89251C5c4F0cc2b3b5Ca315Ea5137b8a,107
0xfe9a20a89608b621018D4c41CA564D91Df355eDe,106
0x6516DEDe38F2E0791FeFD07c2E550dF3C87E10eE,106
0x5189D1F5FdF705C2155d8dD1901F412F54908f2E,105
0x054c3f238FD1530de48eDd9BF88bbF66f4Ae4981,105
0xfe9a20a89608b621018D4c41CA564D91Df355eDe,103
0x3E4E3848BE243680918d4626cb6Cc8E5529CF29C,103
0xE6eAF29C78590eec67B421d2136655458f5A8675,102
0x38A564A38Be5DFb6eF2AB765dA1e4397d03C2D62,102
0x571d05Feb04da207F8efbC0EC4AB756689812Be8,101
0xfe0fD59729bd1663234fb609DEeE726B38B2e1Ac,100
0x660255Af9Aa0300BB168DCe9Db30A7Baaa88C751,100
0x660255Af9Aa0300BB168DCe9Db30A7Baaa88C751,100
0x660255Af9Aa0300BB168DCe9Db30A7Baaa88C751,100
0x571d05Feb04da207F8efbC0EC4AB756689812Be8,100
0x571d05Feb04da207F8efbC0EC4AB756689812Be8,100
0x5189D1F5FdF705C2155d8dD1901F412F54908f2E,100
0x2D3A6B6681f85ccB5A8cCaa777EA51dD98430ea9,100
0x2D3A6B6681f85ccB5A8cCaa777EA51dD98430ea9,100
0xfe9a20a89608b621018D4c41CA564D91Df355eDe,99
0xE9b9bf7A771383B516C946c7e89394889C91e84E,98
0xffA7b9A48303b5add9adE9C2183e625eE84c40FA,97
0x5189D1F5FdF705C2155d8dD1901F412F54908f2E,97
0x054c3f238FD1530de48eDd9BF88bbF66f4Ae4981,97
0x38A564A38Be5DFb6eF2AB765dA1e4397d03C2D62,96
0xeeDE9ACD5BbCd64915078323BDA6216dfb6565ef,95
0xffA7b9A48303b5add9adE9C2183e625eE84c40FA,93
0x571d05Feb04da207F8efbC0EC4AB756689812Be8,93
0xff398908bA5748aaA26349015DC7c30146cC0037,92
0xffA7b9A48303b5add9adE9C2183e625eE84c40FA,91
0x6516DEDe38F2E0791FeFD07c2E550dF3C87E10eE,91
0x38A564A38Be5DFb6eF2AB765dA1e4397d03C2D62,91
0x2D3A6B6681f85ccB5A8cCaa777EA51dD98430ea9,91
0x2D3A6B6681f85ccB5A8cCaa777EA51dD98430ea9,91
0xfe9a20a89608b621018D4c41CA564D91Df355eDe,90
0xfe0fD59729bd1663234fb609DEeE726B38B2e1Ac,90
0xCdD040b751c283d8dfFaC1C5076Da5F3B033F735,90
0x2FEB12B34a09Cac2a518e51E4044A46800eE8cA7,90
0x660255Af9Aa0300BB168DCe9Db30A7Baaa88C751,89
0x6516DEDe38F2E0791FeFD07c2E550dF3C87E10eE,89
0x129DdF9c3958D5ae6A5A61a40110bEB8D7ca8E7d,89
0xfe9a20a89608b621018D4c41CA564D91Df355eDe,88
0xfaB9c7232f0E9aaf838C0E69c0219eE8b8Bd6e4e,88
0x6516DEDe38F2E0791FeFD07c2E550dF3C87E10eE,88
0x129DdF9c3958D5ae6A5A61a40110bEB8D7ca8E7d,88
0x054c3f238FD1530de48eDd9BF88bbF66f4Ae4981,88
0xffA7b9A48303b5add9adE9C2183e625eE84c40FA,87
0xff398908bA5748aaA26349015DC7c30146cC0037,87
0x0D8d78700E23E82b280f57Db10c26b2fF51Cd8cD,87
0xfe0fD59729bd1663234fb609DEeE726B38B2e1Ac,86
0x6516DEDe38F2E0791FeFD07c2E550dF3C87E10eE,86
0xfe9a20a89608b621018D4c41CA564D91Df355eDe,85
0x6516DEDe38F2E0791FeFD07c2E550dF3C87E10eE,85
0x3E4E3848BE243680918d4626cb6Cc8E5529CF29C,85
0x38A564A38Be5DFb6eF2AB765dA1e4397d03C2D62,85
0x77B861dedBB99c8918F274BDC251372619354e8f,84
0x3E4E3848BE243680918d4626cb6Cc8E5529CF29C,84
0x660255Af9Aa0300BB168DCe9Db30A7Baaa88C751,83
0xE9b9bf7A771383B516C946c7e89394889C91e84E,80
0x73b28f6F4326B572fA23EC9837fbDF6C75672d69,80
0x3E4E3848BE243680918d4626cb6Cc8E5529CF29C,80
0x38A564A38Be5DFb6eF2AB765dA1e4397d03C2D62,80
0x38A564A38Be5DFb6eF2AB765dA1e4397d03C2D62,80
0x38A564A38Be5DFb6eF2AB765dA1e4397d03C2D62,80
0xfe9a20a89608b621018D4c41CA564D91Df355eDe,79
