address,balance
0x129DdF9c3958D5ae6A5A61a40110bEB8D7ca8E7d,27
0xD1Be0d7De9CB6cB1184a80b237AC9Ceb403D3752,13
0xf83719280BA7f4b1e390bb1524ad42b427c80F4E,12
0x426fe7d0553b9AfE2ca36B4168EC67AaE6457b9C,10
0x40EaeAbcB854611162e948F8cc5863806F9Abf9f,10
0x3D8cFaF9645Cb665858a1529fcEe81FC8870e512,9
0x6B336E0a5266cc4778a86E6a8e0Ac3D4c0e760e5,7
0x37b2a3F8Eb9a41B72F4410e679035D0B28F95185,7
0x570b86aC7E3cB18A1bc9506F6Ecb7fF724D284fa,6
0x3e38185CB72A12E91a1B8dB8eAeaB2fc928231bB,6
0xEFC16955C8D011561d91C1d8DF7cD27CeAd924e4,5
0x9De93073243812A92965fdb16e413EBA04b27c20,5
0x0B8170AbC9822b5BeE50c1E4c8eA7157a827Edc7,5
0xF2877832AE2ddbb90E5E337776921f00af79419e,4
0xDEdbfEE3Ab91B4Aca500a11128225e41667F6708,4
0xdbeA9bD1A70Ac62102291fb3446424064948EDfA,4
0xb04b2aa8D2F055DA0bc67b0aba2Cc74E2544D0EB,4
0x7Ef2F7af07a2185465875C1Fc099f8A8E38A84cD,4
0x729F0752D8bD0F88cBEA8cEdF8De7ad5E07b3495,4
0x6bE410BB33133469cd7F67e54163FF3d4deEaeA0,4
0x660255Af9Aa0300BB168DCe9Db30A7Baaa88C751,4
0x64eaccB62A35Eb791cF79a2beC40e902dD99902c,4
0x53b0C754E56C79A3c364B5A19d82d1f740849Cd8,4
0x4EfF2FA24721E69d37177B35733A07BA88ABa336,4
0x47bFF18E462912Ab61a465b2bc229e3857491AA6,4
0x4438DAf6863175D0eBc8Bb828D890dA9895c36e6,4
0x3A270dcE0E0a0DAD62CFB13B842cB83b4e862891,4
0x0837BCCdbFA7d84A9632e23e0507aCccBa6E982b,4
0xf3b059c887172f2cc52b5e77EE3b2C8B3A32E6eF,3
0xf2EfC7b78168abC6A5be99e5624c64f2499d91fC,3
0xF110549007ADf52a2C2f618993A714C4abaF9bCA,3
0xf0803B4cf6359D64913eC6a0B8227640Afe69B2a,3
0xeB9d8758933a21A2b0adF1226f360631184fc898,3
0xea4cAdfB240057cb132D2A088281CE4B755C13b5,3
0xE0aeD5f5ea5AD990E6F8F2c1b3dBaA49E367CfC4,3
0xe0538a6F00771B3Cd3Fd190255c26cB174C6aE48,3
0xd553Fe129584198F36DcF6e54Cd3176Af2d5BE0b,3
0xCBb659774bFaE5071C5bb2f96ebA5323Ae4f996F,3
0xB5BA78fD6a7dc65C35de44e0f1212361CE3977b0,3
0x8E0F45EBDb09F0CCBd1961605265d5C12B363030,3
0x71535AAe1B6C0c51Db317B54d5eEe72d1ab843c1,3
0x6271d199AF035Dc791d00feb62FbA4cb5C3D2b31,3
0x5A6aC5D798B0B4963290E80E1CDc132b28576b00,3
0x55d56F8809e62Fd25a64957815846d1CbB058aa5,3
0x48F19a709E5De7297Ff514D7d4115E579D946015,3
0x3cDD2eAEE5E80924a143487D7bC91Ae25B910C98,3
0x39718FD8CA10e9730A25BFc0eFC4781D563e465A,3
0x1aB89De00F039d9De0E17cd1F1A5E7372C475aC3,3
0xFe3A7A0C836Ae601bf6c723f339122D2Aa6b9Cdd,2
0xfC83192a4047247462C36e5823990688Ace93FE3,2
0xF02EFfdbBAdE9f97F6356bE4C0cB9896e7FeCCde,2
0xEF92F62c0add53Bd647b266acA5d185aAbA78C34,2
0xeeDE9ACD5BbCd64915078323BDA6216dfb6565ef,2
0xEE889769F463e00a4fE642B78A191245127cBbbC,2
0xeD5b95342A7A4d2735F7D86c3D2c50cb03837446,2
0xE9b9bf7A771383B516C946c7e89394889C91e84E,2
0xe6679DB187A025DB3fbb0860db29884771cAC0B2,2
0xe223c05FA8C4c010d97649aD24009c722F0B3ee3,2
0xD8846bC8388E5A9D3dBC69E3958a5Cd1B4f5eBf9,2
0xd8068f813c45C88CEBb02cBC0F91F95626Ec9a34,2
0xD6a3B779850Fc5fd22900263d212bfE9EaEe37E3,2
0xd4764115d27692d1FbF956b94C5893dd35862E7B,2
0xd3dE1f8Aa8e9Cf7133Bb65f4555F8f09cFCB7473,2
0xD3Ae3C8E2700eEc76A9823d6a4bC4e11b22Adb28,2
0xD1A917585855ae8860aa5852D72170c78F72e664,2
0xD0d9E3505349BC945A414A6EC8fF8bcaDAbF20e3,2
0xcb0c4D158E9ab3BdFbbA9bFA5875243c34E435Ae,2
0xc50188aba81aF79E3082f3C7BF5845B06C7fDD20,2
0xc1D9c776Ef4BA56026bB47F16e36C6A4bdAB7d9E,2
0xC0dd880193E4d219C30d69D0806CE2720A77b231,2
0xC052eCD434bb42E4E8aa1F6Ff9282E626Ab1301F,2
0xbF8cb33574B663bb832ef14f0657d72D952f5995,2
0xBD9896ddC0B22270Ab19a1AE8Af014092F6625E3,2
0xBBb0C5f2E2ccF64563a8752F921DD541661E8cAd,2
0xbB63203FA253B667F1d8D591954F5a14ba5613E2,2
0xB5462e14432E27A63CDA06Cf7a0595Bfed600AA1,2
0xb1643e8CF8f1c5e9FA6e59A6358Ac48D8eC9002a,2
0xB142B9Caa77cef5f16bbe2cEEd278Fedf3Ec54C2,2
0xa41E79498DA7Bc115Db003c3D2a569987ce32D7B,2
0xA2e4694FA18429E593c1CDF7187571dd239d1959,2
0xa1AAe64b8C98045771cc7f450c98C989e0b373Cf,2
0x9eAF005f7674a802ecFEB6C76bea36BBe6371443,2
0x9C4D656d7fd6CD1A411d161e46790C2207d47063,2
0x99a9F3d6B0775B84920eA83c9bBec1856BEA761D,2
0x966ae53222966A20a08825c39c51873244862089,2
0x958b13F2b5a597ae6B1da2071cB3EF91ec187556,2
0x957256fde0448ef51C38c090d3D3F2975598FAD4,2
0x94AA5a330570B7a54Ac1FB1Ab28Ad9B658c6e694,2
0x91069286728A16fB0c2fE0e29EA56e253e69Eb01,2
0x837Ba81662500bfBBF926a6967df6Fac60253B04,2
0x817A322D652Ad609986c56EeBD3375fb9F0462A2,2
0x810bB3dBB1237e500840E2a188b16a7f153146c3,2
0x7a7B486Ff3e062F6D8a5568CF39B8c281f25C798,2
0x79D26BbdF03dD196f70A807e0bF84C4b2f10FAb1,2
0x79aE892E3102908Eb2B701C2F6104ECe5228Ad24,2
0x7972523ad23426aBf631977600D5a878Fd48bAc6,2
0x7624066e1F83954dbe80c14182E6920d084B308c,2
0x753408E0d3D3Be3F41de1e4ee86f13079460a1D9,2
0x7406b16A29cddA932AAD191ec5Fa06625A8Ef8c9,2
0x739dC8f3045F6ad394C62ED3Ef043E8cE1ae2E1b,2
0x72D1BEFB45C38e2c137FA30c5e222CCD3629c110,2
0x683cb167bBBaAc13EFc8F84217B03564feE5a291,2
0x62958E348b6D54C780977aeec959Ef7b365188b6,2
0x60edaCED9D7a45c793B1f280aC6D189aaCB66991,2
0x5f3d6141B371e1D3FDA66171640374211024B6A0,2
0x54C91a6ccAFE8083DAB1B63d33A67470c9F81676,2
0x51F51EB0df06b41C9F9454dc2a50bdB34E18afcB,2
